Year,United States,Russia,South Africa,China,Brazil,India
2000,319.47567,167.5039675,96.15287984,35.6471922,42.52264625,16.54654149
2001,310.3961138,170.0460234,97.58611573,36.82979638,42.67713028,16.49605799
2002,311.0090846,170.0386008,94.53725488,39.05031396,43.23521668,16.70447392
2003,309.061772,176.9028359,99.85847993,44.34873751,43.39679324,16.82437768
2004,312.5251542,178.186745,107.7081219,50.28477788,45.2630999,17.43537136
2005,311.1341822,180.0592196,106.2116494,55.26349679,45.87440315,17.83438951
2006,305.2320043,185.9070766,104.1196242,60.08058904,46.95444243,18.48359809
2007,307.6315205,186.7576706,110.0604016,64.64053401,49.10625227,19.23546576
2008,296.9219827,191.2495495,116.9812892,66.33501255,51.329542,19.88814797
2009,279.8198812,179.677338,113.0930294,70.51952852,49.17626466,21.59586541
2010,283.9702164,191.0875641,109.7621749,77.50984873,53.86816479,22.27102263
2011,278.7591456,200.2229946,107.7226401,82.73464886,54.21257474,22.91897236
2012,272.4967991,204.8855043,104.5487643,85.45790613,56.05821568,23.75803557
2013,273.8269241,201.3809012,103.2055601,87.78133246,57.93550595,24.02123876
2014,269.7931208,195.997909,106.8802951,88.69217592,59.30211035,25.24166732
